(:,3.0
):,-3.0
.22-caliber,0.0
.22-calibre,0.0
.38-caliber,0.0
.38-calibre,0.0
.45-caliber,0.0
.45-calibre,0.0
0,6.66666666667
1,0.416666666667
10,0.0
10-membered,0.0
100,0.0
1000,0.0
1000th,0.0
100th,0.0
101,-0.769230769231
101st,0.0
105,-0.25
105th,0.0
10th,0.0
11,0.0
110,0.0
110th,0.0
115,0.0
115th,0.0
11th,0.0
12,0.0
120,0.0
120th,0.0
125,-0.125
125th,0.0
12th,0.0
13,0.0
130,0.0
130th,0.0
135,-0.125
135th,0.0
13th,0.0
14,0.0
140,0.0
140th,0.0
145,-0.125
145th,0.0
14th,0.0
15,0.0
150,0.0
150th,0.0
155,-0.125
155th,0.0
15th,0.0
16,0.0
160,0.0
160th,0.0
165,-0.125
165th,0.0
16th,0.0
17,0.0
170,0.0
170th,0.0
175,-0.125
175th,0.0
17th,0.0
18,0.0
180,0.0
180th,0.0
18th,0.0
19,0.0
190,0.0
190th,0.0
19th,0.0
1st,0.0
2,0.0
2-dimensional,-0.625
20,0.0
200,0.0
200th,0.0
20th,0.0
21,0.0
21st,0.0
22,0.0
22nd,0.0
23,0.0
23rd,0.0
24,0.0
24th,0.0
25,0.0
25th,0.0
26,0.0
26th,0.0
27,0.0
27th,0.0
28,0.0
28th,0.0
29,0.0
29th,0.0
2d,0.0
2nd,0.0
3,0.0
3-dimensional,0.0
3-membered,0.0
30,0.0
300,-0.25
300th,0.0
30th,0.0
31,0.0
31st,0.0
32,0.0
32nd,0.0
33,0.0
33rd,0.0
34,0.0
34th,0.0
35,0.0
35th,0.0
36,0.0
36th,0.0
37,0.0
37th,0.0
38,0.0
38th,0.0
39,0.0
39th,0.0
3rd,0.0
4,0.0
4-dimensional,0.0
4-membered,0.0
40,0.0
400,-0.25
400th,0.0
40th,0.0
41,0.0
41st,0.0
42,0.0
42nd,0.0
43,0.0
43rd,0.0
44,0.0
44th,0.0
45,0.0
45th,0.0
46,0.0
46th,0.0
47,0.0
47th,0.0
48,0.0
48th,0.0
49,0.0
49th,0.0
4th,0.0
5,0.0
5-membered,0.0
50,0.0
500,0.0
500th,0.0
50th,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
55th,0.0
56,0.0
57,0.0
58,0.0
59,0.0
5th,1.30770607459
6,0.0
6-membered,0.0
60,0.0
60th,0.0
61,0.0
62,0.0
63,0.0
64,0.0
64th,0.0
65,0.0
65th,0.0
66,0.0
67,0.0
68,0.0
69,0.0
6th,0.0
7,0.0
7-membered,0.0
70,0.0
70th,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
75th,0.0
76,0.0
77,0.0
78,0.0
79,0.0
7th,0.0
8,0.0
8-membered,0.0
80,0.0
80th,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
85th,0.0
86,0.0
87,0.0
88,0.0
89,0.0
8th,0.0
9,0.0
9-membered,0.0
90,0.0
90th,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
95th,0.0
96,0.0
97,0.0
98,0.0
99,0.0
9th,0.0
:(,-3.0
:),3.0
:)),3.0
:-(,-3.0
:-),3.0
a-ok,0.125
a-okay,0.125
a-one,0.625
a.m.,0.0
abactinal,0.0
abandoned,0.125
abashed,-0.375
abasic,-0.25
abatable,0.625
abatic,-0.25
abaxial,0.0
abbatial,0.0
abbreviated,0.0
abdicable,0.375
abdominal,0.0
abdominous,0.0
abdominovesical,0.0
abducent,0.0
abducting,0.0
abecedarian,0.0
aberdonian,0.0
aberrant,0.375
abeyant,-0.125
abhorrent,-0.75
abiding,0.375
abient,0.25
abiogenetic,0.0
abject,-1.25
abkhaz,0.0
abkhazian,0.0
ablated,-0.125
ablative,0.625
ablaze,0.125
able,0.955128205128
able-bodied,0.25
abloom,0.125
ablutionary,0.0
abnaki,0.0
abnormal,-0.625
abolishable,0.625
abolitionary,0.0
abomasal,0.0
abominable,-1.125
aboral,0.0
aboriginal,0.0
abortifacient,-0.375
abortive,-0.25
aboulic,-0.75
abounding,-0.25
about,0.0
above,-0.125
above-mentioned,-0.125
above-named,-0.125
aboveboard,-0.375
aboveground,0.0
abranchial,0.0
abranchiate,0.0
abranchious,0.0
abrasive,-0.7090000000000001
abreast,0.25
abridged,0.0
abroach,0.0
abroad,0.0
abrupt,0.0
abruptly-pinnate,0.25
abscessed,-0.5
absent,-0.875
absentminded,0.25
absolute,-0.125
absolutist,0.0
absolutistic,0.0
absolved,0.625
absolvitory,0.25
absorbable,0.5
absorbed,0.125
absorbefacient,0.375
absorbent,0.0
absorbing,0.5
absorptive,0.0
abstemious,0.5
abstentious,-0.625
abstinent,-0.625
abstract,0.0
abstracted,0.25
abstractionist,0.0
abstractive,0.375
abstruse,0.125
absurd,1.0
abulic,-0.75
abundant,-0.25
abused,-0.375
abusive,-1.75
abuzz,0.0
abysmal,0.0
abyssal,0.0
academic,-0.125
acanthoid,0.125
